source,term_id,term_name,fdr,significant,intersection_size,query_size,term_size,background_size,genes,gene_symbols
GO:MF,GO:0005216,monoatomic ion channel activity,0.09695024290005677,False,5,47,29,1708,ENSG00000078795 ENSG00000007402 ENSG00000122986 ENSG00000155511 ENSG00000120903,PKD2L2 CACNA2D2 HVCN1 GRIA1 CHRNA2
GO:MF,GO:0140852,histone ubiquitin ligase activity,0.09695024290005677,False,2,47,3,1708,ENSG00000174579 ENSG00000185619,MSL2 PCGF3
GO:MF,GO:0005262,calcium channel activity,0.09695024290005677,False,3,47,10,1708,ENSG00000078795 ENSG00000007402 ENSG00000155511,PKD2L2 CACNA2D2 GRIA1
GO:MF,GO:0005261,monoatomic cation channel activity,0.09695024290005677,False,5,47,26,1708,ENSG00000078795 ENSG00000007402 ENSG00000122986 ENSG00000155511 ENSG00000120903,PKD2L2 CACNA2D2 HVCN1 GRIA1 CHRNA2
GO:MF,GO:0008324,monoatomic cation transmembrane transporter activity,0.09695024290005677,False,6,47,54,1708,ENSG00000162753 ENSG00000078795 ENSG00000007402 ENSG00000122986 ENSG00000155511 ENSG00000120903,SLC9C2 PKD2L2 CACNA2D2 HVCN1 GRIA1 CHRNA2
GO:MF,GO:0015267,channel activity,0.09695024290005677,False,5,47,36,1708,ENSG00000078795 ENSG00000007402 ENSG00000122986 ENSG00000155511 ENSG00000120903,PKD2L2 CACNA2D2 HVCN1 GRIA1 CHRNA2
GO:MF,GO:0022836,gated channel activity,0.09695024290005677,False,4,47,22,1708,ENSG00000007402 ENSG00000122986 ENSG00000155511 ENSG00000120903,CACNA2D2 HVCN1 GRIA1 CHRNA2
GO:MF,GO:0015085,calcium ion transmembrane transporter activity,0.09695024290005677,False,3,47,11,1708,ENSG00000078795 ENSG00000007402 ENSG00000155511,PKD2L2 CACNA2D2 GRIA1
GO:MF,GO:0022803,passive transmembrane transporter activity,0.09695024290005677,False,5,47,36,1708,ENSG00000078795 ENSG00000007402 ENSG00000122986 ENSG00000155511 ENSG00000120903,PKD2L2 CACNA2D2 HVCN1 GRIA1 CHRNA2
GO:MF,GO:0015075,monoatomic ion transmembrane transporter activity,0.13713827441708865,False,6,47,59,1708,ENSG00000162753 ENSG00000078795 ENSG00000007402 ENSG00000122986 ENSG00000155511 ENSG00000120903,SLC9C2 PKD2L2 CACNA2D2 HVCN1 GRIA1 CHRNA2
GO:MF,GO:0106260,DNA-DNA tethering activity,0.14100900851266496,False,1,47,1,1708,ENSG00000174579,MSL2
GO:MF,GO:0140993,histone modifying activity,0.14100900851266496,False,5,47,50,1708,ENSG00000174579 ENSG00000104885 ENSG00000185619 ENSG00000178093 ENSG00000196182,MSL2 DOT1L PCGF3 TSSK6 STK40
GO:MF,GO:0140956,histone H3K79 trimethyltransferase activity,0.14100900851266496,False,1,47,1,1708,ENSG00000104885,DOT1L
GO:MF,GO:0005215,transporter activity,0.14100900851266496,False,7,47,100,1708,ENSG00000162753 ENSG00000285982 ENSG00000078795 ENSG00000007402 ENSG00000122986 ENSG00000155511 ENSG00000120903,SLC9C2 ENSG00000285982 PKD2L2 CACNA2D2 HVCN1 GRIA1 CHRNA2
GO:MF,GO:0004971,AMPA glutamate receptor activity,0.14100900851266496,False,1,47,1,1708,ENSG00000155511,GRIA1
GO:MF,GO:0001965,G-protein alpha-subunit binding,0.14100900851266496,False,1,47,1,1708,ENSG00000155511,GRIA1
GO:MF,GO:0070851,growth factor receptor binding,0.14100900851266496,False,2,47,8,1708,ENSG00000010810 ENSG00000113070,FYN HBEGF
GO:MF,GO:0070324,thyroid hormone binding,0.14100900851266496,False,1,47,1,1708,ENSG00000103811,CTSH
GO:MF,GO:0140587,chromatin loop anchoring activity,0.14100900851266496,False,1,47,1,1708,ENSG00000174579,MSL2
GO:MF,GO:0005230,extracellular ligand-gated monoatomic ion channel activity,0.14100900851266496,False,2,47,9,1708,ENSG00000155511 ENSG00000120903,GRIA1 CHRNA2
GO:MF,GO:0008179,adenylate cyclase binding,0.14100900851266496,False,1,47,1,1708,ENSG00000155511,GRIA1
GO:MF,GO:0005244,voltage-gated monoatomic ion channel activity,0.14100900851266496,False,2,47,9,1708,ENSG00000007402 ENSG00000122986,CACNA2D2 HVCN1
GO:MF,GO:0008656,cysteine-type endopeptidase activator activity involved in apoptotic process,0.14100900851266496,False,1,47,1,1708,ENSG00000103811,CTSH
GO:MF,GO:0008929,methylglyoxal synthase activity,0.14100900851266496,False,1,47,1,1708,ENSG00000111669,TPI1
GO:MF,GO:0032397,activating MHC class I receptor activity,0.14100900851266496,False,1,47,1,1708,ENSG00000103811,CTSH
GO:MF,GO:0046873,metal ion transmembrane transporter activity,0.14100900851266496,False,4,47,36,1708,ENSG00000162753 ENSG00000078795 ENSG00000007402 ENSG00000155511,SLC9C2 PKD2L2 CACNA2D2 GRIA1
GO:MF,GO:0043014,alpha-tubulin binding,0.14100900851266496,False,2,47,5,1708,ENSG00000066084 ENSG00000010810,DIP2B FYN
GO:MF,GO:0141054,histone H2B ubiquitin ligase activity,0.14100900851266496,False,1,47,1,1708,ENSG00000174579,MSL2
GO:MF,GO:0140585,promoter-enhancer loop anchoring activity,0.14100900851266496,False,1,47,1,1708,ENSG00000174579,MSL2
GO:MF,GO:1904315,transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential,0.14100900851266496,False,2,47,6,1708,ENSG00000155511 ENSG00000120903,GRIA1 CHRNA2
GO:MF,GO:0140862,histone H2AK119 ubiquitin ligase activity,0.14100900851266496,False,1,47,1,1708,ENSG00000185619,PCGF3
GO:MF,GO:0004900,erythropoietin receptor activity,0.14100900851266496,False,1,47,1,1708,ENSG00000187266,EPOR
GO:MF,GO:0016773,"phosphotransferase activity, alcohol group as acceptor",0.14100900851266496,False,5,47,55,1708,ENSG00000010810 ENSG00000178093 ENSG00000196182 ENSG00000115085 ENSG00000171174,FYN TSSK6 STK40 ZAP70 RBKS
GO:MF,GO:0016838,"carbon-oxygen lyase activity, acting on phosphates",0.14100900851266496,False,1,47,1,1708,ENSG00000111669,TPI1
GO:MF,GO:0022824,transmitter-gated monoatomic ion channel activity,0.14100900851266496,False,2,47,6,1708,ENSG00000155511 ENSG00000120903,GRIA1 CHRNA2
GO:MF,GO:0032393,MHC class I receptor activity,0.14100900851266496,False,1,47,1,1708,ENSG00000103811,CTSH
GO:MF,GO:0031802,type 5 metabotropic glutamate receptor binding,0.14100900851266496,False,1,47,1,1708,ENSG00000010810,FYN
GO:MF,GO:0030234,enzyme regulator activity,0.14100900851266496,False,7,47,110,1708,ENSG00000010810 ENSG00000103811 ENSG00000213654 ENSG00000035499 ENSG00000149131 ENSG00000221914 ENSG00000113070,FYN CTSH GPSM3 DEPDC1B SERPING1 PPP2R2A HBEGF
GO:MF,GO:0030594,neurotransmitter receptor activity,0.14100900851266496,False,2,47,7,1708,ENSG00000155511 ENSG00000120903,GRIA1 CHRNA2
GO:MF,GO:0035254,glutamate receptor binding,0.14100900851266496,False,2,47,8,1708,ENSG00000010810 ENSG00000155511,FYN GRIA1
GO:MF,GO:0022857,transmembrane transporter activity,0.14100900851266496,False,7,47,90,1708,ENSG00000162753 ENSG00000285982 ENSG00000078795 ENSG00000007402 ENSG00000122986 ENSG00000155511 ENSG00000120903,SLC9C2 ENSG00000285982 PKD2L2 CACNA2D2 HVCN1 GRIA1 CHRNA2
GO:MF,GO:0030108,HLA-A specific activating MHC class I receptor activity,0.14100900851266496,False,1,47,1,1708,ENSG00000103811,CTSH
GO:MF,GO:0022835,transmitter-gated channel activity,0.14100900851266496,False,2,47,6,1708,ENSG00000155511 ENSG00000120903,GRIA1 CHRNA2
GO:MF,GO:0022843,voltage-gated monoatomic cation channel activity,0.14100900851266496,False,2,47,8,1708,ENSG00000007402 ENSG00000122986,CACNA2D2 HVCN1
GO:MF,GO:0030165,PDZ domain binding,0.14100900851266496,False,2,47,7,1708,ENSG00000131558 ENSG00000155511,EXOC4 GRIA1
GO:MF,GO:0019200,carbohydrate kinase activity,0.14100900851266496,False,1,47,1,1708,ENSG00000171174,RBKS
GO:MF,GO:0031151,histone H3K79 methyltransferase activity,0.14100900851266496,False,1,47,1,1708,ENSG00000104885,DOT1L
GO:MF,GO:0030171,voltage-gated proton channel activity,0.14100900851266496,False,1,47,1,1708,ENSG00000122986,HVCN1
GO:MF,GO:0004747,ribokinase activity,0.14100900851266496,False,1,47,1,1708,ENSG00000171174,RBKS
GO:MF,GO:0004807,triose-phosphate isomerase activity,0.14100900851266496,False,1,47,1,1708,ENSG00000111669,TPI1
GO:MF,GO:0016861,"intramolecular oxidoreductase activity, interconverting aldoses and ketoses",0.14100900851266496,False,1,47,1,1708,ENSG00000111669,TPI1
GO:MF,GO:0022821,solute:potassium antiporter activity,0.14100900851266496,False,1,47,1,1708,ENSG00000162753,SLC9C2
GO:MF,GO:0022832,voltage-gated channel activity,0.14100900851266496,False,2,47,9,1708,ENSG00000007402 ENSG00000122986,CACNA2D2 HVCN1
GO:MF,GO:0015386,potassium:proton antiporter activity,0.14100900851266496,False,1,47,1,1708,ENSG00000162753,SLC9C2
GO:MF,GO:0016301,kinase activity,0.14100900851266496,False,5,47,59,1708,ENSG00000010810 ENSG00000178093 ENSG00000196182 ENSG00000115085 ENSG00000171174,FYN TSSK6 STK40 ZAP70 RBKS
GO:MF,GO:0016505,peptidase activator activity involved in apoptotic process,0.14100900851266496,False,1,47,1,1708,ENSG00000103811,CTSH
GO:MF,GO:0004715,non-membrane spanning protein tyrosine kinase activity,0.14100900851266496,False,2,47,8,1708,ENSG00000010810 ENSG00000115085,FYN ZAP70
GO:MF,GO:0000810,diacylglycerol diphosphate phosphatase activity,0.14100900851266496,False,1,47,1,1708,ENSG00000147535,PLPP5
GO:MF,GO:0097110,scaffold protein binding,0.17285403933282514,False,2,47,11,1708,ENSG00000010810 ENSG00000155511,FYN GRIA1
GO:BP,GO:1902065,response to L-glutamate,0.18464334075558828,False,2,47,2,1708,ENSG00000010810 ENSG00000155511,FYN GRIA1
GO:BP,GO:0050982,detection of mechanical stimulus,0.18464334075558828,False,2,47,2,1708,ENSG00000078795 ENSG00000010810,PKD2L2 FYN
GO:BP,GO:0043278,response to morphine,0.18464334075558828,False,2,47,2,1708,ENSG00000155511 ENSG00000221914,GRIA1 PPP2R2A
GO:BP,GO:0014072,response to isoquinoline alkaloid,0.18464334075558828,False,2,47,2,1708,ENSG00000155511 ENSG00000221914,GRIA1 PPP2R2A
GO:BP,GO:1905232,cellular response to L-glutamate,0.18464334075558828,False,2,47,2,1708,ENSG00000010810 ENSG00000155511,FYN GRIA1
GO:MF,GO:0004711,ribosomal protein S6 kinase activity,0.18475963190193212,False,2,47,18,1708,ENSG00000178093 ENSG00000196182,TSSK6 STK40
GO:MF,GO:0004713,protein tyrosine kinase activity,0.18475963190193212,False,2,47,15,1708,ENSG00000010810 ENSG00000115085,FYN ZAP70
GO:MF,GO:0004679,AMP-activated protein kinase activity,0.18475963190193212,False,2,47,18,1708,ENSG00000178093 ENSG00000196182,TSSK6 STK40
GO:MF,GO:0004694,eukaryotic translation initiation factor 2alpha kinase activity,0.18475963190193212,False,2,47,18,1708,ENSG00000178093 ENSG00000196182,TSSK6 STK40
GO:MF,GO:0004676,3-phosphoinositide-dependent protein kinase activity,0.18475963190193212,False,2,47,18,1708,ENSG00000178093 ENSG00000196182,TSSK6 STK40
GO:MF,GO:0004674,protein serine/threonine kinase activity,0.18475963190193212,False,3,47,38,1708,ENSG00000010810 ENSG00000178093 ENSG00000196182,FYN TSSK6 STK40
GO:MF,GO:0004672,protein kinase activity,0.18475963190193212,False,4,47,48,1708,ENSG00000010810 ENSG00000178093 ENSG00000196182 ENSG00000115085,FYN TSSK6 STK40 ZAP70
GO:MF,GO:0016755,aminoacyltransferase activity,0.18475963190193212,False,3,47,38,1708,ENSG00000112659 ENSG00000174579 ENSG00000185619,CUL9 MSL2 PCGF3
GO:MF,GO:0016860,intramolecular oxidoreductase activity,0.18475963190193212,False,1,47,3,1708,ENSG00000111669,TPI1
GO:MF,GO:0016772,"transferase activity, transferring phosphorus-containing groups",0.18475963190193212,False,5,47,73,1708,ENSG00000010810 ENSG00000178093 ENSG00000196182 ENSG00000115085 ENSG00000171174,FYN TSSK6 STK40 ZAP70 RBKS
GO:MF,GO:0015215,nucleotide transmembrane transporter activity,0.18475963190193212,False,1,47,3,1708,ENSG00000285982,ENSG00000285982
GO:MF,GO:0015276,ligand-gated monoatomic ion channel activity,0.18475963190193212,False,2,47,13,1708,ENSG00000155511 ENSG00000120903,GRIA1 CHRNA2
GO:MF,GO:0015631,tubulin binding,0.18475963190193212,False,3,47,37,1708,ENSG00000066084 ENSG00000010810 ENSG00000237649,DIP2B FYN KIFC1
GO:MF,GO:0016004,phospholipase activator activity,0.18475963190193212,False,1,47,2,1708,ENSG00000010810,FYN
GO:MF,GO:0016504,peptidase activator activity,0.18475963190193212,False,1,47,3,1708,ENSG00000103811,CTSH
GO:MF,GO:0016740,transferase activity,0.18475963190193212,False,9,47,191,1708,ENSG00000010810 ENSG00000112659 ENSG00000174579 ENSG00000104885 ENSG00000185619 ENSG00000178093 ENSG00000196182 ENSG00000115085 ENSG00000171174,FYN CUL9 MSL2 DOT1L PCGF3 TSSK6 STK40 ZAP70 RBKS
GO:MF,GO:0019865,immunoglobulin binding,0.18475963190193212,False,1,47,2,1708,ENSG00000155511,GRIA1
GO:MF,GO:0015385,sodium:proton antiporter activity,0.18475963190193212,False,1,47,2,1708,ENSG00000162753,SLC9C2
GO:MF,GO:0019787,ubiquitin-like protein transferase activity,0.18475963190193212,False,3,47,37,1708,ENSG00000112659 ENSG00000174579 ENSG00000185619,CUL9 MSL2 PCGF3
GO:MF,GO:0035402,histone H3T11 kinase activity,0.18475963190193212,False,2,47,18,1708,ENSG00000178093 ENSG00000196182,TSSK6 STK40
GO:MF,GO:0035175,histone H3S10 kinase activity,0.18475963190193212,False,2,47,18,1708,ENSG00000178093 ENSG00000196182,TSSK6 STK40
GO:MF,GO:0035173,histone kinase activity,0.18475963190193212,False,2,47,18,1708,ENSG00000178093 ENSG00000196182,TSSK6 STK40
GO:MF,GO:0031698,beta-2 adrenergic receptor binding,0.18475963190193212,False,1,47,2,1708,ENSG00000155511,GRIA1
GO:MF,GO:0032559,adenyl ribonucleotide binding,0.18475963190193212,False,7,47,133,1708,ENSG00000010810 ENSG00000112659 ENSG00000237649 ENSG00000178093 ENSG00000196182 ENSG00000115085 ENSG00000171174,FYN CUL9 KIFC1 TSSK6 STK40 ZAP70 RBKS
GO:MF,GO:0031690,adrenergic receptor binding,0.18475963190193212,False,1,47,3,1708,ENSG00000155511,GRIA1
GO:MF,GO:0015078,proton transmembrane transporter activity,0.18475963190193212,False,2,47,16,1708,ENSG00000162753 ENSG00000122986,SLC9C2 HVCN1
GO:MF,GO:0030296,protein tyrosine kinase activator activity,0.18475963190193212,False,1,47,3,1708,ENSG00000113070,HBEGF
GO:MF,GO:0030297,transmembrane receptor protein tyrosine kinase activator activity,0.18475963190193212,False,1,47,2,1708,ENSG00000113070,HBEGF
GO:MF,GO:0031681,G-protein beta-subunit binding,0.18475963190193212,False,1,47,2,1708,ENSG00000155511,GRIA1
GO:MF,GO:0031489,myosin V binding,0.18475963190193212,False,1,47,2,1708,ENSG00000155511,GRIA1
GO:MF,GO:0022834,ligand-gated channel activity,0.18475963190193212,False,2,47,13,1708,ENSG00000155511 ENSG00000120903,GRIA1 CHRNA2
GO:MF,GO:0022849,glutamate-gated calcium ion channel activity,0.18475963190193212,False,1,47,2,1708,ENSG00000155511,GRIA1
GO:MF,GO:0035979,histone H2AXS139 kinase activity,0.18475963190193212,False,2,47,18,1708,ENSG00000178093 ENSG00000196182,TSSK6 STK40
GO:MF,GO:0035403,histone H3T6 kinase activity,0.18475963190193212,False,2,47,18,1708,ENSG00000178093 ENSG00000196182,TSSK6 STK40
GO:MF,GO:0035256,G protein-coupled glutamate receptor binding,0.18475963190193212,False,1,47,2,1708,ENSG00000010810,FYN
GO:MF,GO:0042577,lipid phosphatase activity,0.18475963190193212,False,1,47,3,1708,ENSG00000147535,PLPP5
GO:MF,GO:0050997,quaternary ammonium group binding,0.18475963190193212,False,1,47,3,1708,ENSG00000120903,CHRNA2
GO:MF,GO:0044022,histone H3S28 kinase activity,0.18475963190193212,False,2,47,18,1708,ENSG00000178093 ENSG00000196182,TSSK6 STK40
GO:MF,GO:0043028,cysteine-type endopeptidase regulator activity involved in apoptotic process,0.18475963190193212,False,1,47,2,1708,ENSG00000103811,CTSH
GO:MF,GO:0050321,tau-protein kinase activity,0.18475963190193212,False,1,47,3,1708,ENSG00000010810,FYN
GO:MF,GO:0051018,protein kinase A binding,0.18475963190193212,False,1,47,3,1708,ENSG00000155511,GRIA1
GO:MF,GO:0140998,histone H2B kinase activity,0.18475963190193212,False,2,47,18,1708,ENSG00000178093 ENSG00000196182,TSSK6 STK40
GO:MF,GO:0141003,histone H2AX kinase activity,0.18475963190193212,False,2,47,18,1708,ENSG00000178093 ENSG00000196182,TSSK6 STK40
GO:MF,GO:0099507,ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential,0.18475963190193212,False,1,47,2,1708,ENSG00000155511,GRIA1
GO:MF,GO:0140096,"catalytic activity, acting on a protein",0.18475963190193212,False,9,47,188,1708,ENSG00000010810 ENSG00000103811 ENSG00000112659 ENSG00000174579 ENSG00000104885 ENSG00000185619 ENSG00000178093 ENSG00000196182 ENSG00000115085,FYN CTSH CUL9 MSL2 DOT1L PCGF3 TSSK6 STK40 ZAP70
GO:MF,GO:0140375,immune receptor activity,0.18475963190193212,False,2,47,12,1708,ENSG00000103811 ENSG00000187266,CTSH EPOR
