source,term_id,term_name,fdr,significant,intersection_size,query_size,term_size,background_size,genes,gene_symbols
GO:MF,GO:0005295,neutral L-amino acid:sodium symporter activity,0.2216128095181058,False,2,94,3,1708,ENSG00000103042 ENSG00000196517,SLC38A7 SLC6A9
GO:MF,GO:0005343,organic acid:sodium symporter activity,0.2216128095181058,False,2,94,3,1708,ENSG00000103042 ENSG00000196517,SLC38A7 SLC6A9
GO:MF,GO:0005283,amino acid:sodium symporter activity,0.2216128095181058,False,2,94,3,1708,ENSG00000103042 ENSG00000196517,SLC38A7 SLC6A9
GO:MF,GO:0098772,molecular function regulator activity,0.2216128095181058,False,17,94,166,1708,ENSG00000110497 ENSG00000149131 ENSG00000182732 ENSG00000157456 ENSG00000103811 ENSG00000073417 ENSG00000108309 ENSG00000205517 ENSG00000055955 ENSG00000150630 ENSG00000120725 ENSG00000113070 ENSG00000113448 ENSG00000010810 ENSG00000213654 ENSG00000135298 ENSG00000147799,AMBRA1 SERPING1 RGS6 CCNB2 CTSH PDE8A RUNDC3A RGL3 ITIH4 VEGFC SIL1 HBEGF PDE4D FYN GPSM3 ADGRB3 ARHGAP39
GO:MF,GO:0140852,histone ubiquitin ligase activity,0.2216128095181058,False,2,94,3,1708,ENSG00000174579 ENSG00000185619,MSL2 PCGF3
GO:MF,GO:0097110,scaffold protein binding,0.2216128095181058,False,4,94,11,1708,ENSG00000251322 ENSG00000155511 ENSG00000113448 ENSG00000010810,SHANK3 GRIA1 PDE4D FYN
GO:MF,GO:0070851,growth factor receptor binding,0.2216128095181058,False,4,94,8,1708,ENSG00000150630 ENSG00000151422 ENSG00000113070 ENSG00000010810,VEGFC FER HBEGF FYN
GO:MF,GO:0005416,amino acid:monoatomic cation symporter activity,0.2216128095181058,False,2,94,3,1708,ENSG00000103042 ENSG00000196517,SLC38A7 SLC6A9
GO:MF,GO:0005154,epidermal growth factor receptor binding,0.2216128095181058,False,2,94,3,1708,ENSG00000151422 ENSG00000113070,FER HBEGF
GO:MF,GO:0004715,non-membrane spanning protein tyrosine kinase activity,0.2216128095181058,False,3,94,8,1708,ENSG00000115085 ENSG00000151422 ENSG00000010810,ZAP70 FER FYN
GO:MF,GO:0008047,enzyme activator activity,0.2216128095181058,False,8,94,54,1708,ENSG00000110497 ENSG00000182732 ENSG00000103811 ENSG00000073417 ENSG00000113070 ENSG00000010810 ENSG00000135298 ENSG00000147799,AMBRA1 RGS6 CTSH PDE8A HBEGF FYN ADGRB3 ARHGAP39
GO:MF,GO:0008081,phosphoric diester hydrolase activity,0.2216128095181058,False,4,94,10,1708,ENSG00000073417 ENSG00000103056 ENSG00000154822 ENSG00000113448,PDE8A SMPD3 PLCL2 PDE4D
GO:MF,GO:0031690,adrenergic receptor binding,0.2216128095181058,False,2,94,3,1708,ENSG00000155511 ENSG00000113448,GRIA1 PDE4D
GO:MF,GO:0031698,beta-2 adrenergic receptor binding,0.2216128095181058,False,2,94,2,1708,ENSG00000155511 ENSG00000113448,GRIA1 PDE4D
GO:MF,GO:0035254,glutamate receptor binding,0.2216128095181058,False,3,94,8,1708,ENSG00000251322 ENSG00000155511 ENSG00000010810,SHANK3 GRIA1 FYN
GO:MF,GO:0008188,neuropeptide receptor activity,0.2216128095181058,False,2,94,2,1708,ENSG00000156395 ENSG00000166573,SORCS3 GALR1
GO:MF,GO:0030234,enzyme regulator activity,0.2216128095181058,False,14,94,110,1708,ENSG00000110497 ENSG00000149131 ENSG00000182732 ENSG00000157456 ENSG00000103811 ENSG00000073417 ENSG00000108309 ENSG00000205517 ENSG00000055955 ENSG00000113070 ENSG00000010810 ENSG00000213654 ENSG00000135298 ENSG00000147799,AMBRA1 SERPING1 RGS6 CCNB2 CTSH PDE8A RUNDC3A RGL3 ITIH4 HBEGF FYN GPSM3 ADGRB3 ARHGAP39
GO:MF,GO:0015171,amino acid transmembrane transporter activity,0.2216128095181058,False,3,94,8,1708,ENSG00000103042 ENSG00000196517 ENSG00000155511,SLC38A7 SLC6A9 GRIA1
GO:BP,GO:0050804,modulation of chemical synaptic transmission,0.2223671134014123,False,8,94,46,1708,ENSG00000156395 ENSG00000196517 ENSG00000251322 ENSG00000154822 ENSG00000007402 ENSG00000155511 ENSG00000010810 ENSG00000176406,SORCS3 SLC6A9 SHANK3 PLCL2 CACNA2D2 GRIA1 FYN RIMS2
GO:BP,GO:0099537,trans-synaptic signaling,0.2223671134014123,False,10,94,65,1708,ENSG00000156395 ENSG00000149927 ENSG00000196517 ENSG00000251322 ENSG00000154822 ENSG00000007402 ENSG00000155511 ENSG00000010810 ENSG00000131558 ENSG00000176406,SORCS3 DOC2A SLC6A9 SHANK3 PLCL2 CACNA2D2 GRIA1 FYN EXOC4 RIMS2
GO:BP,GO:1900449,regulation of glutamate receptor signaling pathway,0.2223671134014123,False,2,94,2,1708,ENSG00000251322 ENSG00000010810,SHANK3 FYN
GO:BP,GO:0150146,cell junction disassembly,0.2223671134014123,False,2,94,2,1708,ENSG00000151422 ENSG00000135298,FER ADGRB3
GO:BP,GO:0051639,actin filament network formation,0.2223671134014123,False,2,94,2,1708,ENSG00000204991 ENSG00000079691,SPIRE2 CARMIL1
GO:BP,GO:0051494,negative regulation of cytoskeleton organization,0.2223671134014123,False,5,94,17,1708,ENSG00000242498 ENSG00000251322 ENSG00000163635 ENSG00000079691 ENSG00000158106,ARPIN SHANK3 ATXN7 CARMIL1 RHPN1
