source,term_id,term_name,fdr,significant,intersection_size,query_size,term_size,background_size,genes,gene_symbols
GO:MF,GO:0070851,growth factor receptor binding,0.14709484622911603,False,4,86,8,1708,ENSG00000150630 ENSG00000151422 ENSG00000113070 ENSG00000010810,VEGFC FER HBEGF FYN
GO:BP,GO:0097581,lamellipodium organization,0.15993277568708933,False,4,86,6,1708,ENSG00000242498 ENSG00000023902 ENSG00000151422 ENSG00000079691,ARPIN PLEKHO1 FER CARMIL1
GO:BP,GO:1903426,regulation of reactive oxygen species biosynthetic process,0.27294949655327505,False,2,86,5,1708,ENSG00000122986 ENSG00000010810,HVCN1 FYN
GO:BP,GO:0000278,mitotic cell cycle,0.27294949655327505,False,10,86,103,1708,ENSG00000110497 ENSG00000089053 ENSG00000157456 ENSG00000103056 ENSG00000158019 ENSG00000124356 ENSG00000112659 ENSG00000005483 ENSG00000131558 ENSG00000002822,AMBRA1 ANAPC5 CCNB2 SMPD3 BABAM2 STAMBP CUL9 KMT2E EXOC4 MAD1L1
GO:BP,GO:0070649,formin-nucleated actin cable assembly,0.27294949655327505,False,1,86,1,1708,ENSG00000204991,SPIRE2
GO:BP,GO:0070536,protein K63-linked deubiquitination,0.27294949655327505,False,2,86,5,1708,ENSG00000158019 ENSG00000124356,BABAM2 STAMBP
GO:BP,GO:0061640,cytoskeleton-dependent cytokinesis,0.27294949655327505,False,3,86,16,1708,ENSG00000204991 ENSG00000124356 ENSG00000131558,SPIRE2 STAMBP EXOC4
GO:BP,GO:0000902,cell morphogenesis,0.27294949655327505,False,8,86,80,1708,ENSG00000161813 ENSG00000242498 ENSG00000023902 ENSG00000142599 ENSG00000163171 ENSG00000010810 ENSG00000135298 ENSG00000176406,LARP4 ARPIN PLEKHO1 RERE CDC42EP3 FYN ADGRB3 RIMS2
GO:BP,GO:0071286,cellular response to magnesium ion,0.27294949655327505,False,1,86,1,1708,ENSG00000103056,SMPD3
GO:BP,GO:0001946,lymphangiogenesis,0.27294949655327505,False,1,86,1,1708,ENSG00000150630,VEGFC
GO:BP,GO:0001945,lymph vessel development,0.27294949655327505,False,1,86,1,1708,ENSG00000150630,VEGFC
GO:BP,GO:0007585,respiratory gaseous exchange by respiratory system,0.27294949655327505,False,2,86,7,1708,ENSG00000171310 ENSG00000196182,CHST11 STK40
GO:BP,GO:0007549,sex-chromosome dosage compensation,0.27294949655327505,False,1,86,1,1708,ENSG00000185619,PCGF3
GO:BP,GO:0007520,myoblast fusion,0.27294949655327505,False,2,86,7,1708,ENSG00000023902 ENSG00000135298,PLEKHO1 ADGRB3
GO:BP,GO:0000302,response to reactive oxygen species,0.27294949655327505,False,3,86,17,1708,ENSG00000103056 ENSG00000151422 ENSG00000010810,SMPD3 FER FYN
GO:BP,GO:1903409,reactive oxygen species biosynthetic process,0.27294949655327505,False,2,86,6,1708,ENSG00000122986 ENSG00000010810,HVCN1 FYN
GO:BP,GO:1903047,mitotic cell cycle process,0.27294949655327505,False,10,86,89,1708,ENSG00000110497 ENSG00000089053 ENSG00000157456 ENSG00000103056 ENSG00000158019 ENSG00000124356 ENSG00000112659 ENSG00000005483 ENSG00000131558 ENSG00000002822,AMBRA1 ANAPC5 CCNB2 SMPD3 BABAM2 STAMBP CUL9 KMT2E EXOC4 MAD1L1
GO:BP,GO:0007268,chemical synaptic transmission,0.27294949655327505,False,7,86,65,1708,ENSG00000156395 ENSG00000149927 ENSG00000154822 ENSG00000007402 ENSG00000010810 ENSG00000131558 ENSG00000176406,SORCS3 DOC2A PLCL2 CACNA2D2 FYN EXOC4 RIMS2
GO:BP,GO:0007267,cell-cell signaling,0.27294949655327505,False,12,86,104,1708,ENSG00000156395 ENSG00000120451 ENSG00000072657 ENSG00000149927 ENSG00000103056 ENSG00000166573 ENSG00000053438 ENSG00000154822 ENSG00000007402 ENSG00000010810 ENSG00000131558 ENSG00000176406,SORCS3 SNX19 TRHDE DOC2A SMPD3 GALR1 NNAT PLCL2 CACNA2D2 FYN EXOC4 RIMS2
GO:BP,GO:0007260,tyrosine phosphorylation of STAT protein,0.27294949655327505,False,1,86,1,1708,ENSG00000151422,FER
GO:BP,GO:0050900,leukocyte migration,0.27294949655327505,False,5,86,30,1708,ENSG00000103056 ENSG00000150630 ENSG00000151422 ENSG00000010810 ENSG00000213654,SMPD3 VEGFC FER FYN GPSM3
GO:BP,GO:0009306,protein secretion,0.27294949655327505,False,4,86,28,1708,ENSG00000120451 ENSG00000053438 ENSG00000150630 ENSG00000176406,SNX19 NNAT VEGFC RIMS2
