Model_Configuration,Num_Features,Top1_Accuracy_Pct,Recall_at_3_Pct,Recall_at_5_Pct,MRR,NDCG_at_5
A: Distance Only,5,31.26,45.58,55.16,0.433,0.436
B: GTEx eQTL Only,10,11.81,26.51,41.12,0.26,0.261
C: rE2G Only,6,21.77,43.07,57.3,0.375,0.397
D: Distance + GTEx,15,31.53,47.53,57.4,0.442,0.449
E: Distance + rE2G,11,33.58,55.35,65.77,0.481,0.503
F: GTEx + rE2G,17,19.72,40.28,52.09,0.352,0.363
G: Full Model (RegAtlas),22,35.16,55.91,65.02,0.491,0.509
Nearest TSS Heuristic,1,17.3,38.51,49.67,0.332,0.343
Gene Body Boundary Heuristic,1,30.79,45.02,54.05,0.425,0.427
Permutation Null (200x mean),22,5.85,17.55,29.25,0.171,0.147
