locus_id,chrom,sentinel_pos,confidence,label_set,gene_id,gene_name,gene_biotype,label,abs_tss_distance,tss_distance_rank,is_nearest_tss,has_any_brain_eqtl,brain_eqtl_max_slope,brain_eqtl_max_neg_log10_pval,has_re2g_link,re2g_max_score,re2g_total_elements,has_both_eqtl_and_re2g
LOC_3_38592651_GCST006061_3,3,38592651,High,ot_platform,ENSG00000093217,XYLB,protein_coding,0,245891,9,0,0,0.0,-0.0,1,0.9999883253285736,3,0
LOC_3_38592651_GCST006061_3,3,38592651,High,ot_platform,ENSG00000172940,SLC22A13,protein_coding,0,326839,11,0,0,0.0,-0.0,0,0.0,0,0
LOC_3_38592651_GCST006061_3,3,38592651,High,ot_platform,ENSG00000172939,OXSR1,protein_coding,0,427562,13,0,1,0.429046630859375,4.376594070959634,1,0.999992275271936,2,1
LOC_3_38592651_GCST006061_3,3,38592651,High,ot_platform,ENSG00000008226,DLEC1,protein_coding,0,553446,20,0,1,0.19610589742660522,4.657960040272608,1,0.9999942416558392,16,1
LOC_3_38592651_GCST006061_3,3,38592651,High,ot_platform,ENSG00000060971,ACAA1,protein_coding,0,455409,17,0,1,0.5475049018859863,7.33706629088977,1,0.9999987596402756,2,1
LOC_3_38592651_GCST006061_3,3,38592651,High,ot_platform,ENSG00000114742,WDR48,protein_coding,0,459362,18,0,1,0.7215647101402283,4.353157353040726,1,0.9999792284484388,4,1
LOC_3_38592651_GCST006061_3,3,38592651,High,ot_platform,ENSG00000114739,ACVR2B,protein_coding,0,138761,4,0,0,0.0,-0.0,1,0.9999859717873604,4,0
LOC_3_38592651_GCST006061_3,3,38592651,High,ot_platform,ENSG00000168356,SCN11A,protein_coding,1,459506,19,0,1,0.7553232312202454,12.73878257172015,0,0.0,0,0
LOC_3_38592651_GCST006061_3,3,38592651,High,ot_platform,ENSG00000185313,SCN10A,protein_coding,0,223635,6,0,0,0.0,-0.0,0,0.0,0,0
LOC_3_38592651_GCST006061_3,3,38592651,High,ot_platform,ENSG00000144671,SLC22A14,protein_coding,0,310357,10,0,1,0.7923187613487244,22.2352038848699,0,0.0,0,0
LOC_3_38592651_GCST006061_3,3,38592651,High,ot_platform,ENSG00000157036,EXOG,protein_coding,0,96524,2,0,1,0.4524464011192322,17.21473832072243,1,0.999914665228092,4,1
LOC_3_38592651_GCST006061_3,3,38592651,High,ot_platform,ENSG00000172936,MYD88,protein_coding,0,454099,15,0,1,0.371421754360199,4.499197056713037,1,0.9999999960247424,5,1
