locus_id,chrom,sentinel_rsid,sentinel_pos,gwas_pval,gwas_beta,regatlas_rank,regatlas_score,gene_id,gene_name,gene_biotype,abs_tss_distance,tss_distance_rank,is_nearest_tss,has_any_brain_eqtl,brain_eqtl_max_slope,brain_eqtl_max_neg_log10_pval,has_re2g_link,re2g_max_score,re2g_total_elements,has_both_eqtl_and_re2g
SCZ_LOC_10_104520277_rs12571643,10,rs12571643,104520277,1.246e-23,0.113498313776424,1,0.3814547659293968,ENSG00000156395,SORCS3,protein_coding,121013,3,0,0,0.0,-0.0,1,0.9999973261903936,19,0
SCZ_LOC_10_104520277_rs12571643,10,rs12571643,104520277,1.246e-23,0.113498313776424,2,0.27476697032623737,ENSG00000120051,CFAP58,protein_coding,166444,5,0,0,0.0,-0.0,1,0.999997828666906,11,0
SCZ_LOC_10_104520277_rs12571643,10,rs12571643,104520277,1.246e-23,0.113498313776424,3,0.09295409529423615,ENSG00000148841,ITPRIP,protein_coding,181812,7,0,1,0.22511084377765656,7.628042249943775,1,0.999999997406819,10,1
SCZ_LOC_10_104520277_rs12571643,10,rs12571643,104520277,1.246e-23,0.113498313776424,4,0.07949583949794839,ENSG00000065613,SLK,protein_coding,553137,22,0,1,0.48951151967048645,4.342928390341368,1,0.9999976932915,5,1
SCZ_LOC_10_104520277_rs12571643,10,rs12571643,104520277,1.246e-23,0.113498313776424,5,-0.10614947914783976,ENSG00000156384,SFR1,protein_coding,398219,16,0,0,0.0,-0.0,1,0.9999936029656163,5,0
SCZ_LOC_10_104520277_rs12571643,10,rs12571643,104520277,1.246e-23,0.113498313776424,6,-0.16177686489189658,ENSG00000065621,GSTO2,protein_coding,251404,11,0,1,0.8494024276733398,44.345727280267106,1,0.9999756424911704,7,1
SCZ_LOC_10_104520277_rs12571643,10,rs12571643,104520277,1.246e-23,0.113498313776424,7,-0.253709427084227,ENSG00000148834,GSTO1,protein_coding,284921,14,0,1,1.2194358110427856,10.31835655124026,1,0.9999895319008392,5,1
SCZ_LOC_10_104520277_rs12571643,10,rs12571643,104520277,1.246e-23,0.113498313776424,8,-0.3148190460233847,ENSG00000225768,LINC02620,lncRNA,40003,1,1,0,0.0,-0.0,0,0.0,0,0
SCZ_LOC_10_104520277_rs12571643,10,rs12571643,104520277,1.246e-23,0.113498313776424,9,-0.3364924595839899,ENSG00000228261,ITPRIP-AS1,lncRNA,214177,9,0,1,0.6324739456176758,11.808690057068903,0,0.0,0,0
SCZ_LOC_10_104520277_rs12571643,10,rs12571643,104520277,1.246e-23,0.113498313776424,10,-0.3543940306284519,ENSG00000197748,CFAP43,protein_coding,287913,15,0,1,1.5572549104690552,15.025543532877574,1,0.999995486937574,4,1
SCZ_LOC_10_104520277_rs12571643,10,rs12571643,104520277,1.246e-23,0.113498313776424,11,-0.5306958339094795,ENSG00000237761,ENSG00000237761,lncRNA,46654,2,0,0,0.0,-0.0,0,0.0,0,0
SCZ_LOC_10_104520277_rs12571643,10,rs12571643,104520277,1.246e-23,0.113498313776424,12,-0.6854244940262295,ENSG00000270075,ENSG00000270075,lncRNA,208136,8,0,0,0.0,-0.0,0,0.0,0,0
SCZ_LOC_10_104520277_rs12571643,10,rs12571643,104520277,1.246e-23,0.113498313776424,12,-0.6854244940262295,ENSG00000065618,COL17A1,protein_coding,434397,20,0,0,0.0,-0.0,0,0.0,0,0
SCZ_LOC_10_104520277_rs12571643,10,rs12571643,104520277,1.246e-23,0.113498313776424,12,-0.6854244940262295,ENSG00000294028,ENSG00000294028,lncRNA,400065,19,0,0,0.0,-0.0,0,0.0,0,0
SCZ_LOC_10_104520277_rs12571643,10,rs12571643,104520277,1.246e-23,0.113498313776424,12,-0.6854244940262295,ENSG00000294047,ENSG00000294047,lncRNA,399268,18,0,0,0.0,-0.0,0,0.0,0,0
SCZ_LOC_10_104520277_rs12571643,10,rs12571643,104520277,1.246e-23,0.113498313776424,12,-0.6854244940262295,ENSG00000294070,ENSG00000294070,lncRNA,398364,17,0,0,0.0,-0.0,0,0.0,0,0
SCZ_LOC_10_104520277_rs12571643,10,rs12571643,104520277,1.246e-23,0.113498313776424,12,-0.6854244940262295,ENSG00000297750,ENSG00000297750,lncRNA,452730,21,0,0,0.0,-0.0,0,0.0,0,0
SCZ_LOC_10_104520277_rs12571643,10,rs12571643,104520277,1.246e-23,0.113498313776424,12,-0.6854244940262295,ENSG00000231233,CFAP58-DT,lncRNA,166592,6,0,0,0.0,-0.0,0,0.0,0,0
SCZ_LOC_10_104520277_rs12571643,10,rs12571643,104520277,1.246e-23,0.113498313776424,12,-0.6854244940262295,ENSG00000302058,ENSG00000302058,lncRNA,251283,10,0,0,0.0,-0.0,0,0.0,0,0
SCZ_LOC_10_104520277_rs12571643,10,rs12571643,104520277,1.246e-23,0.113498313776424,12,-0.6854244940262295,ENSG00000302072,ENSG00000302072,lncRNA,271207,12,0,0,0.0,-0.0,0,0.0,0,0
SCZ_LOC_10_104520277_rs12571643,10,rs12571643,104520277,1.246e-23,0.113498313776424,12,-0.6854244940262295,ENSG00000302085,ENSG00000302085,lncRNA,274354,13,0,0,0.0,-0.0,0,0.0,0,0
SCZ_LOC_10_104520277_rs12571643,10,rs12571643,104520277,1.246e-23,0.113498313776424,12,-0.6854244940262295,ENSG00000226387,SORCS3-AS1,lncRNA,145939,4,0,0,0.0,-0.0,0,0.0,0,0
SCZ_LOC_10_18745105_rs7893279,10,rs7893279,18745105,6.545e-16,0.0995013844227929,1,0.3083938423836714,ENSG00000234244,ENSG00000234244,lncRNA,34846,1,1,0,0.0,-0.0,0,0.0,0,0
