locus_id,gene_id,gene_name,regatlas_rank,tss_distance_rank
SCZ_LOC_10_3821561_rs17731,ENSG00000067082,KLF6,1,8
SCZ_LOC_11_133852684_rs4936215,ENSG00000183715,OPCML,1,15
SCZ_LOC_12_29921443_rs302317,ENSG00000133687,TMTC1,1,4
SCZ_LOC_17_19142226_rs959071,ENSG00000262319,ENSG00000262319,1,1
SCZ_LOC_1_8422676_rs2252865,ENSG00000142599,RERE,1,15
SCZ_LOC_1_97819667_rs11165846,ENSG00000188641,DPYD,1,4
SCZ_LOC_4_706700_rs35734242,ENSG00000185619,PCGF3,1,1
SCZ_LOC_6_43185733_rs6938026,ENSG00000112659,CUL9,1,1
SCZ_LOC_7_110993511_rs7803571,ENSG00000184903,IMMP2L,1,7
SCZ_LOC_7_2029867_rs58120505,ENSG00000002822,MAD1L1,1,6
SCZ_LOC_8_38260433_rs59498392,ENSG00000085788,DDHD2,2,4
SCZ_LOC_16_58665389_rs244908,ENSG00000103037,SETD6,3,8
SCZ_LOC_19_36530562_rs3810450,ENSG00000161277,THAP8,4,42
SCZ_LOC_3_136153468_rs10935184,ENSG00000114054,PCCB,4,3
SCZ_LOC_8_26279173_rs73219806,ENSG00000104765,BNIP3L,4,5
SCZ_LOC_13_79855548_rs7333904,ENSG00000102471,NDFIP2,5,13
SCZ_LOC_16_29993686_rs9925915,ENSG00000169592,INO80E,5,1
SCZ_LOC_17_19142226_rs959071,ENSG00000072134,EPN2,5,11
SCZ_LOC_2_97746526_rs7575796,ENSG00000115073,ACTR1B,5,3
SCZ_LOC_12_104631552_rs10861176,ENSG00000198431,TXNRD1,6,15
SCZ_LOC_19_50162909_rs7251,ENSG00000131409,LRRC4B,6,52
SCZ_LOC_1_97819667_rs11165846,ENSG00000259946,ENSG00000259946,6,3
SCZ_LOC_3_63914618_rs59971314,ENSG00000163634,THOC7,6,2
SCZ_LOC_12_110723245_rs4766428,ENSG00000204856,FAM216A,7,14
SCZ_LOC_1_153920564_rs10559,ENSG00000143578,CREB3L4,7,9
SCZ_LOC_12_110723245_rs4766428,ENSG00000174437,ATP2A2,8,25
SCZ_LOC_19_19476984_rs8101499,ENSG00000167491,GATAD2A,8,8
SCZ_LOC_3_36844522_rs4678552,ENSG00000163673,DCLK3,10,3
SCZ_LOC_7_2029867_rs58120505,ENSG00000122687,MRM2,10,7
SCZ_LOC_15_44250313_rs2929278,ENSG00000092470,WDR76,11,12
SCZ_LOC_15_78934551_rs3813567,ENSG00000041357,PSMA4,11,20
SCZ_LOC_1_173580303_rs61828917,ENSG00000117593,DARS2,11,15
SCZ_LOC_8_38260433_rs59498392,ENSG00000175324,LSM1,11,6
SCZ_LOC_11_46524013_rs2902858,ENSG00000175224,ATG13,13,3
SCZ_LOC_15_44250313_rs2929278,ENSG00000167004,PDIA3,13,23
SCZ_LOC_13_79855548_rs7333904,ENSG00000227676,LINC01068,14,11
SCZ_LOC_12_121380544_rs2649999,ENSG00000157895,C12orf43,15,22
SCZ_LOC_5_140333952_rs246024,ENSG00000204969,PCDHA2,15,39
SCZ_LOC_15_40566759_rs56282503,ENSG00000137843,PAK6,16,49
SCZ_LOC_19_11399372_rs322124,ENSG00000197933,ZNF823,17,33
SCZ_LOC_19_50162909_rs7251,ENSG00000126453,BCL2L12,18,62
SCZ_LOC_11_65438345_rs11227250,ENSG00000197136,PCNX3,19,42
SCZ_LOC_16_4498486_rs8048039,ENSG00000103423,DNAJA3,23,9
SCZ_LOC_12_122520575_rs61952922,ENSG00000175727,MLXIP,24,28
SCZ_LOC_12_57622371_rs12826178,ENSG00000179912,R3HDM2,25,34
SCZ_LOC_16_29993686_rs9925915,ENSG00000102882,MAPK3,27,24
SCZ_LOC_19_50162909_rs7251,ENSG00000126456,IRF3,30,61
SCZ_LOC_16_29993686_rs9925915,ENSG00000174939,ASPHD1,31,15
SCZ_LOC_11_65438345_rs11227250,ENSG00000172922,RNASEH2C,41,55
